class,text
w,"정당방위가 성립하려면 침해행위에 의하여 침해되는 법익의 종류, 정도, 침해의 방법, 침해행위의 완급과 방위행위에 의하여 침해될 법익의 종류, 정도 등"
d,2 이 사건이 발생한 차량 내부 블랙박스에는 당시 상황이 녹음되어 있다.
d,4 사건 당일에 피해자가 피고인에게 욕을 하였을 뿐만 아니라
d,"당시 그 곳에 있던 프라이팬, 과도를 이용하여 피해자를 폭행하기도 하였다."
i,"자신은 실제로 J를 살해할 의사는 없었고,"
u,"2) 살피건대, 앞서든 증거들에 의하여 인정되는 다음과 같은 여러 사정들, 즉"
c,피고인은 이 사건 범행 당시 술에 취하여 시신상실 또는 심신미약의 상태에 있었다는 취지의 주장을 한다.
i,피해자들에 대한 항의의 표시로 피고인의 집 천장이나 벽을 두드리기도 하는 등 피해자들과 사이가 매우 좋지 않았다.
c,따라서 피고인의 행위는 정당방위에 해당한다.
u,"위와 같은 사정과 피고인이이 사건 범행에 이르게 된 경위, 구체적인 범행 방법, 범행 전후 나타난 피고인의 행동과 태도 등을 종합적으로 고려하면,"
d,"곧바로 피해자에게 응급조치를 시행하였으나,"
i,피고인이 단순히 피해자 등을 협박하려는 의도였다면 그와 같은 흉기 사용을 위한 만반의 준비를 갖출 필요는 없어 보인다.
i,그러나 피해자가 이 사건 현장에서 쓰러진 것만으로 앞서 본 바와 같이 전신에 중한 상처를 입었을 것으로는 보이지 않고
w,"형법 제10조에 규정된 심신장애는 정신병 또는 비정상적 정신상태와 같은 정신적 장애가 있는 외에 이와 같은 정신적 장애로 말미암아 사물에 대한 변별능력이나 그에 따른 행위통제능력이 결여 또는 감소되었음을 요하므로,"
i,피고인과의 이혼진행 등으로인한 경제적문제는 이사건 이후의문제인 점등에 비추어
u,이 법원이 적법하게 채택한 증거들에 의하면
i,"급소 부위를 3회 이상 찌른 행위는 단순히 피해자의 공격을 제지하는 정도의 방어행위라고 볼 수는 없고,"
d,"그밖에 이 사건 범행의 경위 및 전개과정, 수법 등에 비추어"
d,"4 피고인은 피해자에게 '죽여버린다'고 소리치며 들고 있던 칼로 힘껏 찔렀던 점,"
u,"이와 같은 이 사건 범행의 경위, 피고인의 공격 형태와 공격 부위,피해자들의 나이와 신체적 능력, 피해자들이 입은 상해의 정도, 사망의 결과발생 가능성 등을 종합하여 보면,"
i,"피해자가 피고인을 폭행하거나 물건을 절취하기 위한 행동을 전혀 취하지 않았던 점,"
d,그러자 피해자가 순간적으로 칼을 피하면서 좌측 쇄골 부위에 길이 4cm. 깊이 9cm의 자상을 입은 직후 자신의 주거지로 도망가자 피고인은 위 낚시용 칼을 손에 든 채 피해자의 주거지 1층 부근까지 피해자를 뒤따라갔다.
i,"피고인 역시 당시 자신이 처한 상황에 관하여,"
i,"4) 피고인이 피해자를 살해한 동기에 관하여,"
i,위와 같은 범행 동기는 조현병 증상인 망상에 기초한 것으로 보인다.
i,단 1회의 공격만으로도 피해자에게 치명적인 결과가 발생할 가능성이 충분하다.
i,"그러나 피해자들은 수사기관 이래 이 법정에 이르기까지 일관하여,"
i,"2012. 1.경부터 같은 해 7월경까지 앞서 본 교통사고로 인하여 장기간 입원치료를 받 는 등으로 인하여 생활형편이 넉넉하지 못하였을 것으로 보이는 점,"
i,"위각 판결을 선고받고 이 사건 범행을 이르기까지 피고인의 망상형 정신분열증의 증상이 호전되었거나 완치되었다고 볼 자료가 없는 점 및 이 법정에서의 피고인의 진술태도 등을 종합해 보면,"
i,"당시에는 그 동안에 쌓였던 감정이 순간적으로 폭발을 해서 눈이 뒤집혀 낫을 휘두르기 시작할 때부터 큰 아들이 말릴 때까지 제정신이 아니었다.""는 취지로 진술하고 있고,"
i,피해자의 진술은 신빙성이 있다.
d,이 당시 피고인은 위 xxx의 주인인 c에게 메모지를 달라고 하여 ‘○○’이라는 사람에 대하여 보내는 형식의 낙서를 한 다음에 위 식당에 휴지통에 버린 사실이 있는데 이 낙서가 발견된 사실이 있다.
d,"피고인이 사용한 몽둥이는 쇠스랑 자루로 쓰기 위해 단단한 나무로 만들어진 길이약 70cm. 직경 약 3cm의 것으로,"
e,"섬망증상에 대한 약물치료를 하였을 뿐 자세한 정신과적 면담을 시행하지 않았다는 취지이고,"
u,"이 사건 범행의 경위, 사용한 흉기의 종류와 소지 경위, 공격을 가한 신체 부위, 공격의 반복성, 피해자가 입은 상처의 부위 및 정도, 사망의 결과 발생 가능성 정도와 당시 피고인의 언동 등을 종합하여 보면,"
i,"판시 범죄사실을 뒷받침하는 피고인 B의 수사기관에서의 진술에 신빙성이 있다고 할 것이므로,"
d,"① 피고인은 어려운 환경에서 자라나 결혼 이전부터 채무관계가 누적되어 있었고,"
i,"피고인이 피해자가 경부 근육층까지 찔릴 정도로 강한 물리력을 행사하였던 점,"
ic,따라서 피고인과 변호인의 위 주장은 받아들이지 않는다.
i,"3 피고인이 범행에 사용한 도구는 총 길이 35cm. 칼날 길이 21cm인 회칼로 사람을 찌를 경우 충분히 사망의 결과를 발생시킬 수 있는 정도의 흉기인 점,"
c,피고인은 피해자로부터 지속적인 폭행을 당해 오면서 순간적으로 심신미약 상태에서 이 사건 범행을 저지른 것이다.
i,"그 외에도 온몸에 수없이 많은 구타가 이루어졌음을 추단할 수 있는 피하출혈 등이 확인되는 점 등을 고려하면,"
c,"피고인이 낫으로 피해자들에게 위해를 가할 의도는 살인의 고의로 인정·평가함이 상당하므로,"
i,현실적으로도 사망의 가능성이 별로 크지 않았다.
d,"수원시 권선구 탑동 소재 f의 집까지 운전하고,"
d,앞서 본 바와 같이 피해자의 자창 부위와 정도 등에 비추어
d,2010. 9. 7.경에도 피해자로부터 심한 폭행을 당하였다
i,"(피고인은 이 사건 범행 당시 흉기인 과도를 미리 소지하고 있었던 것은 아니라고 주장하나,"
u,"그러나 앞서 본 증거들에 의하여 알 수 있는 다음과 같은 사정들, 즉"
d,"피고인의 주거지 내 냉장고 하단 부분과 피고인이 사건 당일 운행하였던 오토바이의 좌우 핸들 부분에서도 피해자의 혈흔이 발견되었는데,"
w,"피고인이 범행 당시 살해의 범의는 없었고 단지 상해 또는 폭행의 범의만 있었을 뿐이라고 다투는 경우에 피고인에게 범행 당시 살해의 범의가 있었는지 여부는 피고인이 범행에 이르게 된 경위 범행의 동기, 준비된 흉기의 유무·종류·용법, 공격의 부위와 반복성, 사망의 결과발생 가능성 정도 등 범행 전후의 객관적인 사정을 종합하여 판단할 수밖에 없다"
d,찔린 부위는 가슴 한가운데에 있는 복장 부위이다.
d,② 그 후 피해자가 피고인을 진정시키기 위하여 “죽여도.
i,"피고인은 자기의 행위로 인하여 피해자가 사망하는 결과를 발생시킬만한 가능성 또는 위험이 있음을 충분히 인식하거나 예견하였다고 보이므로,"
d,먹으로 우측 흉곽을 때렸다.
d,"4) 피고인은 2019. 11. 15.부터 이 사건 범행일 직전인 2019. 12. 14.까지 164회에 걸쳐 거의 매일 피해자에 대한 악의적인 내용의 112 신고를 하고,"
d,"이 사건은 피고인의 주거지 안방에서 발생하였고,"
u,"살피건대, 이 사건 기록에 의하면,"
d,"사건 전날부터 당일 새벽까지 함께 술은 먹은 O, P은 수사기관에서 당시 피고인이 술을 많이 마시거나 많이 취한 상태는 아니었다고 진술하고있고,"
u,"(2) 위 나.항 인정 사실로부터 알 수 있는 다음과 같은 사정들 즉,"
d,"위와 같이 피고인이 경찰 출동 이후에 이 사건 범행 현장을 찾아 갔다는 정황이 없고,"
d,"1) 피고인과 피해자는 약 5년 전부터 알게 된 사이인데,"
i,"피고인이 이 사건 범행을 사전에 계획하거나 평소에 C에 대한 실의를 품고 있지 않았다고 하더라도,"
u,"이와 같은 범행 현장의 모습에 비추어 보면,"
i,"피고인 자신도 이를 “누구는 죽고 누구는 살 수 있느냐는 말이었다.”고 해석하듯이,"
i,"다량의 출혈이 발생하여 응급 수술을 받았던 점,"
w,"또한, 형사재판에 있어 유죄의 인정은 법관으로 하여금 합리적인 의심을 할 여지가 없을 정도로 공소사실이 진실한 것이라는 확신을 가지게 할 수 있는 증명력을 가진 증거에 의하여야 하고,"
d,"피고인은 검찰 조사에서 ""본 때를 보여주기 위해서 칼을 잡고 내려찍듯이 찔렀습니다."
c,피해자의 손톱에서 나온 피고인의 dna는 경찰과 국립과학수사연구소 직원들에 의하여 조작된 것이다.
d,"염전일을 하던 중 갈증을 느껴 물인 줄 알고 위 음료수 병을 마신 후 쓰러졌으며,"
d,경찰에서 조사를 받으면서 사망한 피해자를 촬영한 사진을 보았을 때 이 사건 현장을 떠났을 때보다 피해자가 온몸에 훨씬 많은 상처를 입고 이 사건 현장 곳곳에 혈흔이 있는 것을 확인하였기 때문에
w,"그 인식이나 예견은 확정적인 것은 물론 불확정적인 것이라도 이른바 미필적 고의로 인정되는 것인바,"
i,"피해자와 I가 1~2개월 전의 일을 이유로 지금에 와서 갑자기 피고인을 무고하였다고 보기는 어렵고,"
d,"그러나 피해자가 자신을 정신병자 취급하며 경찰을 부르자, 그 후로는 피해자가 또다시 경찰을 부를까 봐 치과에 방문하여 항의하지 못하였다."
i,"피를 흘리고 쓰러지는 피해자에 대해 어떠한 구호조치도 하지 아니한 채 바로 범행 현장을 이탈하여 다시 회칼을 횟집에 갖다 놓은 점 등에 비추어 볼 때,"
u,이에 의하면
d,"피해자는 침대 위에서 몇 차례 칼에 찔린 다음에는 의자 쪽으로 피하여 가만히 있었음에도 피고인은 계속해서 피해자에게 달려들어 위 식칼로 수차례 피해자의 가슴, 등 부위를 찌른 사실,"
d,생활소음 이외에 특별한 소음을 내지 않는 상황에서 피고인이 과민반응을 보인다고 생각하고 있었다.
d,"피고인이 신청한 증인인 H조차도 이 법정에서 피고인의 지시를 받아 E에게 위와같이 상해를 가하였다고 진술함으로써,"
i,"1 피고인은 이 사건 범행 당시 도박 등으로 인해 총 3억 원에 이르는 다액의 채무를 부담하고 있었고,"
d,"(증거기록 297쪽),"
i,"③ 피고인은 수사기관에서는 피해자를 수회 발로 찬 사실을인정하면서 현장검증 당시 발로 피해자를 때린 장소와 방법을 구체적으로 재연하기도하였던 점 등을 종합하여 보면,"
d,이 사건 차량에서 붙은 불이 급격하게 번지는 모습을 볼 수 있다.
e,"진술의 신빙성과 타당도가 높은 편으로 볼 수 있다""는 의견을 제시하였다."
d,"피해자가 양손으로 칼날을 잡고 반항하는 과정에서 식칼이 바닥에 떨어지자 다시 식칼을 집어들고 피해자의 몸을 향해 휘둘러 피해자의 귀, 팔, 손 등 여러 곳을 찔러 피해자에게 약 4주간의 치료를 요하는 목 부위 자상(2cm가량, 피하층 침범o, 이개 후방 자상(2cm가량, 피하층 침범o, 좌측 두 번째 손가락 인대 손상 등의 상해를 가한 사실,"
c,피고인에게 이 사건 범행 당시 살인의 고의가 있었다고 인정된다.
c,당시 피고인이 사물을 변별하거나 의사를 결정할 능력이 미약한 상태에 있었다고 보기는 어렵다.
d,"② 그런데 피고인은 이 법정에서,"
d,"6 도망가던 피해자 F가 문턱에 걸려 넘어지자, 피해자 G가 피고인을 막기 위해 사무실에 있던 소화기를 들고 피고인에게 달려가다가 넘어졌는데,"
w,"살인죄에서 살인의 범의는 반드시 살해의 목적이나 계획적인 살해의 의도가 있어야인정되는 것은 아니고,"
d,"(수사기록 제200, 201쪽),"
d,"오목천 지하차도에 진입할 무렵 피해자가 차를 세워 달라고 말하였음에도 차문에서 손을 뗄 것을 요구하며 피해자의 손을 쳤으며,"
d,정신을 차렸을 때는 이미 일이 벌어져 친구 E이가 들어와 정신을 차리라고 흔든 것이 기억이 난다
d,3 피고인은 피해자가 국내로 입국하기 전에 사고를 당하여 오른쪽 머리 부위에 머리뼈가 없는 등
d,"(식당에 설치되어 있는 CCTV에는, 피고인이 회칼로 피해자 E의 복부 부위를 향해 1차 공격을 감행하고,"
e,피고인의 지능 및 인지기능은 평균 수준인 점에 비추어볼 때
c,피고인이 판시 범죄사실 기재와 같이 특수강도의 고의를 가지고 항거불능 상태에 있는 피해자의 재물을 강취하였음이 인정된다.
e,혈압측정도 불가능한 상태였다.
u,"피고인이 앓고 있던 질환의 종류와 정도, 이 사건 범행의 동기와 경위, 수단과 태양, 살인 범행을 전후한 피고인의 구체적 행동 등을 위 법리에 비추어 보면,"
u,"앞서 거시한 증거들에 의하여 인정되는 다음과 같은 사정, 즉"
d,"3) 피해자는 2020. 3. 21. 14:38경 112로 신고하였는데,"
d,피해자 E이 도망간 것을 발견하고는 회칼을 들고 피해자 E을 뒤쫓아 뛰어갔다.
e,"또한, 국립과학수사연구원의 감정·부검 결과 1 피고인의 손톱에서 피고인과 피해자의 혈흔이 피해자의 손톱에서 피고인의 혈흔이 각 발견되었고"
i,"목이 졸리면서 발생한 피하조직의 출혈은 시간이 경과하면서 흡수되어 소실될 수 있는 점 등을 고려할 때,"
i,"설령 피고인이 당시 피해자를 죽이려고 계획하였던 것은 아니라 하더라도,"
d,"2) 이 사건 범행으로 피해자는 두정부( , 머리의 정수리 부분)에 두피 심부 열상 및 종창 등을 입었는데,"
b,(대법원 2009. 2. 26. 선고 2008도9867 판결 등 참조).
e,"앞서 든 증거인 CCTV 영상에서 나타난 피고인의 범행 당시의 행동, 감정의사도 피고인이 조현병으로 인해 심신미약의 정도를 넘어 심신상실의 증상을 보였다거나 그러한 가능성이 있다는 소견까지 제시하지는 못한 점 등을 고려하면"
ic,피고인 및 변호인의 이 부분 주장 역시 받아들이지 아니한다.
i,"당시 피해자는 둑방 밑으로 뛰어 도망치다 차를 타고 쫓아오는 피고인으로부터 도피하기 위한 최후의 수단으로 강물에 뛰어들었던 것으로 보이고,"
w,"그 인식이나 예견은 확정적인것은 물론 불확정적인 것이라도 이른바 미필적 고의로 인정되는 것인바,"
ic,피고인의 주장을 받아들이지 않는다.
ic,피고인 및 변호인의 이 부분 주장도 받아들이지 아니 한다.
w,"위와 같은 경우는 일반 사회통념상 범죄를 완수함에 장애가 되는 사정에 해당한다고 봄이 상당하므로,"
i,"피해자가 이를 알아듣지 못하자 계속하여 ""너 후회한다, 시키는 대로 안하면 죽여 버린다""는 등의 위협적인 말을 하였다."
c,"피고인에게는 피해자를 살해하려는 범의가 있었다고 충분히 인정되므로,"
i,1) 피고인은 판시 제3.항 기재 일시 · 장소에서 피해자와 다투던 중 피해자로부터 욕설을 듣고 화가나 피해자를 칼로 찔러버리겠다는 강한 의욕을 느끼고 다툼 장소에서 일탈하여 인근 슈퍼에 가 부엌칼 한 자루를 직접 구매하였다.
d,"(식당에 설치되어 있는 CCTV에는, 피고인이 회칼로 피해자 E의 복부 부위를 향해 1차 공격을 감행하고,"
b,(대법원 2015. 10. 29. 선고 2015도 5355 판결 등 참조).
d,"피해자가 자신의 차량에서 내려 걸어오는 것을 인식하면서 운행속도를 줄이지 아니한 채 50km/h의 속도로 피해자를 강하게 충격하였고,"
d,"6) 피고인이 피해자를 식칼로 찔렀던 그 순간에는 피고인이 피해자로부터 폭행을 당하고 있었던 상태가 아니었고,"
d,"② 피고인은 이 사건 범행 직후 도주하면서 피고인의 모친에게 전화를 하였는데,"
d,"마. 비록 피고인들은 피해자가 의식을 잃은 후 119에 신고하였으나,"
i,"1 피고인이 범행에 사용한 식칼은 전체 길이 29cm. 칼날 길이 17.5cm로서 사람에게 치명상을 입히기에 충분한 바,"
i,"오히려 적극적인 공격의 의사로 행하여진 공격행위로 볼 수밖에 없는 점,"
e,"바깥채에서 발견된 슬리퍼 외부에서는 혈흔반응 양성, 피해자와 일치하는 DNA형이 검출되었고,"
d,"5 피고인은 이 사건 당시 피해자 C이 창고 문을 열고 약간 고개를 숙이면서 나오자마자 그의 머리 뒷부분을 망치로 내려쳤고,"
d,상당 기간 동안 입원치료를 받았음에도 아직 완치되지 않은 상태이다.
d,"가족들을 위해 J의 살해를 결심했다고 말했고,"
i,"또한, 피해자는 수사기관 및 이 법정에서 당시의 상황에 대해 비교적 명확하게 진술하고 있는바,"
e,"주먹으로만 가격하는 경우에는 이와 같은 손상이 발생하기 어려우며,"
d,"손에는 목장갑을 착용한 채 범행 장소인 이 사건 어학원을 방문하였는데,"
i,"자신의 공격 및 추격 행위로 인하여 겁을 먹은 피해자가 공격을 피해강을 건너 도주하던 도중 익사할 가능성이나 위험을 불확정적으로라도 인식하거나 예견하였던 것으로 보이므로,"
i,이러한 길이의 회칼로 사람의 옆구리나 허벅지 등을 찌를 경우 출혈 등으로 인한 사망이 충분히 예견된다.
i,"알코올 사용 장애 선별검사 결과, '문제 음주자' 수준(총점 18점)에 해당하는 것으로 나타났음에도 다시 술을 마시고 이 사건 범행에 이르렀다."
i,2 피고인은 피해자 C이 불러도 집 밖으로 나오지 않자 피해자를 불러내기 위해 집 측면에 쌓여 있던 마대자루에 불을 붙였던 점
e,위 손상은 곡괭이에 의한 손상에 의한 것으로 판단되었으며
c,따라서 피고인은 범죄사실과 같이 계획적으로 피해자를 살해한 것이 아니다.
e,피고인이 이 사건 범행 당시 조현병 등의 증상으로 사물변별능력과 의사결정 능력이 저하된 심신미약상태에 있었을 것으로 추정된다는 정신감정의의 소견이 있긴 하나
i,만약 위와 같은 피해자들의 적극적인 저항과 목격자인 F의 도움 등이 없었다면 피고인의 가해행위는 피해자들이 생명을 잃을 정도에 이를 때까지 계속되었을 가능성을 배제하기 어렵다.
d,"한편 피고인은 수사기관에서 ""2016. 1. 2. E요양병원에서 군산으로 내려오면서 휘발유를 페트병에 담아 이 사건 차량 조수석에 놓아두었다."
d,"피고인이 피해자 몰래 성관계 장면을 촬영한 사실,"
i,"피고인 C는 피고인 B과도 실제 살인행위에 나아갈 것을 전제로 대화를 나눈 점,"
d,"흥분하다 보니까 제가 그 삽을 들게 되었는데,"
d,"위 세탁물은 그로부터 수일이 지나서야 수거된 점,"
c,"피고인이 범행당시 사물을 변별할 능력이나 의사를 결정할 능력이 미약한 상태에 있었다고는 인정되지 아니하므로,"
i,이로 인하여 피고인과 F 모두 범인으로 볼 가능성이 존재한다.
d,"""저를 죽이려고 한 행동이 분명합니다""(증거기록 86쪽) 등"
d,도망치는 피해자를 뒤따라 쫓아가던 중 이웃으로부터 제지를 당하는 바람에 피해자를 쫓아가던 것을 중단하고 집으로 돌아갔다.
w,자기의 행위로 인하여 타인의 사망의 결과를 발생시킬 만한 가능성 또는 위험이 있음을 인식하거나 예견하면 족한 것이고
i,"나중에는 대문 밖에 있던 자동차까지 방화하려고 하였던 점 등에 비추어 보면,"
e,"순환혈액량 감소에 따른 속발성 쇼크로 인하여 위 피해자가 사망하였다고 판단한 점,"
w,"피고인이 범행 당시 살인의 범의는 없었다고 다투는 경우에 피고인에게 범행당시 살인의 범의가 있었는지 여부는 피고인이 범행에 이르게 된 경위, 범행의 동기,준비된 흉기의 유무·종류·용법, 공격의 부위와 반복성, 사망의 결과발생 가능성 정도 등 범행 전후의 객관적인 사정을 종합하여 판단할 수밖에 없다"
d,"당시에 피해자가 의식이 없었지만,"
i,자유로운 의사에 따라 범죄의 실행행위를 중지하였다고 보이지는 않는다).
i,"②피고인이 피해자를 칼로 찌를 당시에는 피해자의 아들이 피해자의 팔을 쳐 벽돌을 떨어뜨리게 하고 피고인의 배를 차 넘어지게 하며 피해자와 피고인 사이를 가로막아 피고인이 위해를 입을 급박한 상황이 아니었던 점,"
c,피고인에게 최소한 살인의 미필적 고의가 있었다고 판단된다.
c,"피고인이 범행 당시 술에 취하여 사물을 변별할 능력이나 의사를 결정할 능력이 없었다거나 미약한 상태에 이르렀다고는 보이지 아니하므로,"
d,피해자가 저의 위에서 엎어진 상태로 제 왼손 가운데 손가락을 깨물고 있었다.
w,피고인이 피해자를 식칼로 찌른 안면과 머리 부위는 중상을 입을 경우 사람이 사망할 가능성이 높다는 점은 누구나 충분히 예상할 수 있다.
e,3 의사 J이 작성한 소견서에 의하면 피해자가 G병원에 내원할 당시 피해자의 경부에 좌상의 흔적이 발견된 사실이 인정된다.
d,이 사건 범행 현장에 출동하여 피고인을 현행범으로 체포한 경찰관은 피고인에게 피해자에 대한 살해 동기에 관한 질문을 하였다.
i,피고인이 판시 제3.항 기재 범행을 저지를 당시 피해자를 칼로 찔러 사망하게 할수 있다는 점을 인식하면서도 그 범행에 나아갔다는 점을 인정할 수 있으므로
i,"피고인이 이 사건 범행을 저질렀으나,"
w,피고인이 범행 당시 살인의 고의는 없었고
i,피고인 B가 위 1차 공격과 2차 공격 사이에 자신의 범의를 달리 하였다고 보기도 어렵다.
w,"그 인식이나 예견은 확정적인것은 물론 불확정적인 것이라도 이른바 미필적 고의로 인정되는 것인바,"
i,"나아가 ""당시 흥분 상태라 다 사기꾼이라고 생각하였고 다 죽이고 싶었다.""라는 취지로도 진술한 바 있는 점,"
d,자신이 주먹으로 피고인의 배 부위를 한 대 치니 피고인이 넘어지면서 자신의 왼쪽 배부위를 찔렀다'라고 진술하였고
d,"피해자의 갈비뼈가 부러지는 등의 상해가 발생한 사실,"
u,"이 법원이 적법하게 채택하여 조사한 증거들에 의해 인정되는 다음과 같은 사정들을 종합하여 보면,"
w,"피고인이 범행 당시 살인의 범의는 없었다고 다투는 경우에 피고인에게 범행 당시살인의 범의가 있었는지 여부는 피고인이 범행에 이르게 된 경위, 범행의 동기, 준비된 흉기의 유무·종류·용법, 공격의 부위와 반복성, 사망의 결과발생 가능성 정도 등 범행 전후의 객관적인 사정을 종합하여 판단할 수밖에 없다"
d,"2) 피고인은 평소 피해자와 자주 다투다가 피해자가 피고인으로부터 폭행을 당한 후 자녀들을 데리고 집을 나가 상습 가정폭력 등의 사유로 이혼소송을 제기하며 자녀들의 양육권과 재산분할을 요구하자,"
i,이는 일반 사회통념상 범죄를 완수함에 장애가 되는 사정에 해당한다.
u,"이 법원이 적법하게 채택하여 조사한 증거에 의하여 인정되는 아래와 같은 사정을 종합해 보면,"
w,자기의 행위로 인하여 타인의 사망 결과를 발생시킬 만할 가능성 또는 위험이 있음을 인식하거나 예견하면 충분한 것이고
u,"판시 살인미수 범행과 관련하여,"
d,⑧ 피고인은 범행 당일 곧바로 도망하지 않고 게임장에서 게임을 하고 직장동료였던 김○수를 불러내어 다음날 02:00경까지 유흥주점에서 120만원 상당의 술을 마시고 술값 대부분을 계산하는 등
i,더욱이 피고인은 피해자가 위와 같이 되돌아가는 행동을 하자 119 구조대에 신고하는 등 피해자를 구조하기 위한 조치를 취하지 않고
u,"이 법원이 적법하게 채택하여 조사한 증거들에 의하면,"
i,"쉽게 납득하기 어려우며,"
u,"이를 종합하면,"
d,"피해자의 휴대전화 통화 내역에 의하면,"
w,"여기서 합리적 의심이라 함은 모든 의문, 불신을 포함하는 것이 아니라 논리와 경험칙에 기하여 요증사실과 양립할 수 없는 사실의 개연성에 대한 합리적 의문을 의미하는 것으로서,"
i,그렇다면 피고인이 피해자로부터 망치를 빼앗아 잡아든 때에 이미 피해자의 피고인에 대한 침해행위는 완전히 종료되었다고 판단된다.
i,"회칼을 꺼냄과 동시에 순식간에 피해자를 세 차례 찔렀으므로,"
i,"1 피고인이 이 사건 범행 직후 스스로 119에 신고하여 피해자에 대한 구호조치까지 취한 점,"
d,"2) 피고인은 경찰에서 피의자신문을 받으면서 피해자가 죽여달라고 말했다는 상황에 대하여 다음과 같이 진술하였는데,"
w,가해자의 행위가 피해자의 부당한 공격을 방위하기 위한 것이라기보다는 서로 공격할 의사로 싸우다가 먼저 공격을 받고
d,"① 피고인은 피해자의 머리 부위를 주먹이나 편수냄비로 수차례 세게 때리고 몸을 발로 걷어찼으며,"
ic,따라서 피고인 및 변호인의 위 주장은 이유 없어 받아들이지 않는다.
u,"이 법원이 적법하게 채택하여 조사한 증거에 의하면,"
ic,피고인의 주장을 받아들이지 않는다.
d,이때 피고인은 왼손으로 미리 준비해둔 다른 칼을 꺼내어 피해자 C의 허벅지를 찔렀다.
d,"피고인이 피해자 D를 폭행한 것은 사실이나,"
w,"자기의 행위로 인하여 타인의 사망이라는 결과를 발생시킬 만한 가능성 또는 위험이 있음을 인식하거나 예견하면 족한 것이며,"
w,"자기의 행위로 말미암아 타인의 사망이라는 결과가 계획적이어야 하는 것은 아니며,"
d,"(증거기록 10쪽),"
u,"앞서 본 이 사건 범행의 경위에 비추어 보면,"
d,"2 피고인이 사용한 범행 도구는 칼날길이 19cm, 총길이 32cm에 이르는 식칼이다."
d,"(수사기록 78~83, 89, 249, 350, 351,570~714쪽 참조)."
d,"④ 비록 피해자가 (1차 공격 부위인 복부보다는 통념상 그 위험성이 덜하다 할 수 있는) 우측 대퇴부 부위에 가하여진 위 2차 공격으로 말미암아 '대퇴동맥 절단 등 과다출혈로 인한 저혈량성 쇼크'로 사망하기는 하였으나,"
i,"피고인은 이 사건 범행 당시 피해자의 사망이라는 결과를 희망하지는 않았다 하더라도 자신의 행위로 인하여 피해자가 사망하는 결과가 발생할 수 있다는 가능성 또는 위험이 있음을 충분히 인식하거나 예견하였음에도 이 사건 범행을 저질렀다고 봄이 상당한바,"
d,"즉, 당시 피고인은 범행 전날인 2019. 7. 8. 16:45경 피고인의 누나(E)에게 전화로 ""누나, 그 미친년 바람난 거 맞아"","
i,피고인이 뒤늦게 L에게 피해자의 상태 확인을 부탁한 것만으로는 피해자의 구호를 위한 적극적인 노력을 취하였다고 보기도 어렵다.
d,문: 목의 골절까지 생기고 기도 점막에 출혈까지 올 정도면 상당히 세게 피해자의 목을 조른 것 아닌가요?
i,"위 말은 피해자나 피고인중에 한 명만 죽어서는 나머지 한 명이 살아가기 어렵다는 취지로 보일 뿐,"
e,"사건 당시 피고인의 상태는 정상범주로 판단된다는 취지이고,"
w,자기의 행위로 인하여 타인의 사망이라는 결과를 발생시킬 만한 가능성 또는 위험이 있음을 인식하거나 예견하면 족한 것이며
d,"6 피고인은 여기서 그치지 않고 바닥에 쓰러진 피해자에게 ""움직이지 마라,"
u,"살피건대, 이 법원이 적법하게 채택하여 조사한 증거들에 의하여 인정되는 다음과같은 사정, 즉"
d,기록에 의하면
i,그렇다면 피고인은 당시 피해자의 육체는 변함이 없다는 점을 알면서도 피해자의 육체를 물리적으로 공격한 것으로 보인다.
d,"피고인도 경찰과 검찰 조사 당시 위 상해 부위에 대하여 ""우발적이라고 해야 되나 제가 찌르기는 찔렀습니다."
d,몸싸움이 시작된 지 8초 정도 후 액셀러레이터를 밟는 소리가 들리면서 피해자가 칼에 찔린 듯이 호흡을 곤란해하며 신음하기 시작한다.
d,"마. 피고인이 피해자를 살해한 사실을 인정하고 있고,"
i,피해자는 이 사건 직후부터 피고인의 처벌을 원하지 않았던 것으로 보인다.
d,(피고인은 경찰에서는 자신이 피해자를 칼로 찌른 사실을 시인하였다가 검찰에 이르러서 당시 피해자를 어떻게 찔렀는지 잘 기억이 나지 않고
i,피해자는 이 사건당시 스스로 몸에 불을 붙여 자살할 만한 아무런 동기가 없다.
d,(수사기록 제174면).
u,3)위 인정사실에 의하면
u,"아래의 사실을 비롯하여 앞서 든 증거에 의하여 인정되는 여러 사실을 종합하여 보면,"
e,감정의는 '피고인이 기억상실을 주장하고 있으나
c,피고인이 피해자를 살해한 사실을 충분히 인정할 수 있으므로
i,그럼에도 피고인은 이를 탄핵할 수 있는 어떠한 반증이나 납득할 만한 설명도 제시하지 못하고 있다.
w,"살인의 범의는 반드시 살해의 목적이나 계획적인 살해의 의도가 있어야 인정되는것은 아니고,"
i,"이 사건 범행에 사용된 깨진 소주병 조각은 단면이 매우 날카롭고,"
i,피해자가 벽돌을 들고 피고인을 때리려고 하고 f이 피고인의 배를 걷어차 달리 방어할 방법이 없는 상황에서 마침 옆에 놓여 있던 칼을 들고 경황없이 1회 찌른 것이 공교롭게 피해자의 심장부위를 향하여 피해자가 사망하였던 것으로
c,피고인이 살인의 고의로 피해자를 칼로 찔러 살해하였음을 충분히 인정할 수 있다.
d,피해자가 다시 의식을 잃자 오랜시간 동안 깨어나는지 지켜보고 있었다고
